"value" "AUC" "True prevalence" "type" "mean" "lower CI" "upper CI" "size.interval"
"437" 0.2689 "0.9" 0.04 "Max Youden - uncorrected" 0.0498579299468387 0.0279676817899317 0.0706538580725133 0.0426861762825816
"438" 0.0155 "0.9" 0.04 "High specificity - uncorrected" 0.028011267217206 0.00736126840317145 0.043433298862461 0.0360720304592895
"439" 0.2897 "0.85" 0.04 "Max Youden - uncorrected" 0.0511575217468715 0.0234811777860603 0.0768813314037626 0.0534001536177023
"440" 0.016 "0.85" 0.04 "High specificity - uncorrected" 0.0406519661537187 -0.00198807157057632 0.0692182410423449 0.0712063126129212
"441" 0.2705 "0.9" 0.08 "Max Youden - uncorrected" 0.100443413900015 0.0802603036876357 0.119290865384615 0.0390305616969793
"442" 0.0308 "0.9" 0.08 "High specificity - uncorrected" 0.0927124336489416 0.0676959619952499 0.112630732099759 0.0449347701045091
"443" 0.2785 "0.85" 0.01 "Max Youden - uncorrected" -0.0106230963981666 -0.0405058651026393 0.0171858216971 0.0576916867997393
"444" 0.0108 "0.85" 0.01 "High specificity - uncorrected" 0.00640283809385368 -0.0265957446808505 0.0327510917030564 0.0593468363839069
"445" 0.2773 "0.9" 0.08 "Max Youden - uncorrected" 0.108401859135479 0.0882717964629227 0.129436964504284 0.0411651680413613
"446" 0.0281 "0.9" 0.08 "High specificity - uncorrected" 0.086473421598252 0.064498933901919 0.107438016528925 0.042939082627006
"447" 0.2279 "0.9" 0.01 "Max Youden - uncorrected" 0.0166509529882447 -0.00492845786963433 0.0386621663086835 0.0435906241783178
"448" 0.0112 "0.9" 0.01 "High specificity - uncorrected" 0.00468300040895024 -0.0110565110565112 0.0232558139534887 0.0343123250099999
"449" 0.3092 "0.8" 0.01 "Max Youden - uncorrected" 0.0284317643501495 -0.00654036986919238 0.0602972399150743 0.0668376097842667
"450" 0.0111 "0.8" 0.01 "High specificity - uncorrected" 0.0141459444238394 -0.0256756756756758 0.0504950495049493 0.0761707251806251
"451" 0.1645 "0.95" 0.04 "Max Youden - uncorrected" 0.0336399896909112 0.0164 0.0499080640924613 0.0335080640924613
"452" 0.0254 "0.95" 0.04 "High specificity - uncorrected" 0.0378238475063971 0.0265370467682606 0.0477408354646206 0.02120378869636
"453" 0.1977 "0.95" 0.08 "Max Youden - uncorrected" 0.0782834515604595 0.0622500666488936 0.0937581956464725 0.0315081289975789
"454" 0.0378 "0.95" 0.08 "High specificity - uncorrected" 0.0768697623831339 0.0643918547055589 0.0883458646616539 0.023954009956095
"455" 0.3012 "0.8" 0.04 "Max Youden - uncorrected" 0.0227027642668507 -0.0115942028985508 0.057104913678619 0.0686991165771698
"456" 0.0142 "0.8" 0.04 "High specificity - uncorrected" 0.0576453720831261 0.0154320987654338 0.0984654731457805 0.0830333743803467
"457" 0.3163 "0.85" 0.08 "Max Youden - uncorrected" 0.0930788819934885 0.066225165562914 0.118571428571429 0.052346263008515
"458" 0.0184 "0.85" 0.08 "High specificity - uncorrected" 0.0796584254356277 0.0515947467166985 0.106422018348624 0.0548272716319255
"459" 0.2725 "0.85" 0.04 "Max Youden - uncorrected" 0.0209579554607879 -0.00816167897396032 0.0492313323572473 0.0573930113312076
"460" 0.0147 "0.85" 0.04 "High specificity - uncorrected" 0.0397903825367733 0.00898203592814272 0.0696125907990319 0.0606305548708892
"461" 0.1927 "0.95" 0.08 "Max Youden - uncorrected" 0.0883652536616223 0.0731483904736978 0.102903391572456 0.0297550010987582
"462" 0.0409 "0.95" 0.08 "High specificity - uncorrected" 0.0840995321676259 0.0714695752009182 0.0962747943880021 0.0248052191870839
"463" 0.3797 "0.8" 0.04 "Max Youden - uncorrected" 0.0449297347812882 0.0105286738351253 0.0780636720453555 0.0675349982102302
"464" 0.0157 "0.8" 0.04 "High specificity - uncorrected" 0.0634842603836103 0.0177595628415311 0.108870967741935 0.0911114049004039
"469" 0.3559 "0.85" 0.01 "Max Youden - uncorrected" 0.030024313601051 -0.00243263473053907 0.0609978150036418 0.0634304497341809
"470" 0.0092 "0.85" 0.01 "High specificity - uncorrected" -0.00627819613019581 -0.0446650124069471 0.0312500000000003 0.0759150124069474
"473" 0.3134 "0.8" 0.01 "Max Youden - uncorrected" 0.0168544743838666 -0.0175238962221212 0.0502781343602907 0.0678020305824119
"474" 0.0108 "0.8" 0.01 "High specificity - uncorrected" 0.011526640494088 -0.0361635220125799 0.0601659751037347 0.0963294971163146
"475" 0.374 "0.8" 0.04 "Max Youden - uncorrected" 0.0618384101651357 0.0245974955277279 0.101458601458601 0.0768611059308731
"476" 0.0152 "0.8" 0.04 "High specificity - uncorrected" 0.0610307477116784 0.023415977961433 0.0950323974082065 0.0716164194467735
"477" 0.3533 "0.8" 0.08 "Max Youden - uncorrected" 0.0911860777369045 0.0582503248159375 0.123341625207297 0.0650913003913595
"478" 0.0169 "0.8" 0.08 "High specificity - uncorrected" 0.0910790788468802 0.0453216374268988 0.133257403189066 0.0879357657621672
"481" 0.3166 "0.85" 0.04 "Max Youden - uncorrected" 0.0370367003771116 0.00638051044083542 0.0665307635285397 0.0601502530877043
"482" 0.0147 "0.85" 0.04 "High specificity - uncorrected" 0.0417835144393686 0.0123152709359592 0.0682182985553768 0.0559030276194176
"485" 0.2266 "0.95" 0.08 "Max Youden - uncorrected" 0.0941026879166919 0.0780384919588715 0.109147609147609 0.0311091171887375
"486" 0.039 "0.95" 0.08 "High specificity - uncorrected" 0.079658263241947 0.0650188070929608 0.0944721341187133 0.0294533270257525
"489" 0.3276 "0.8" 0.01 "Max Youden - uncorrected" 0.0180694063683833 -0.0164298401420958 0.051524259338772 0.0679540994808678
"490" 0.0131 "0.8" 0.01 "High specificity - uncorrected" 0.0280010193151895 -0.0319548872180458 0.0679012345679006 0.0998561217859464
"493" 0.1378 "0.95" 0.01 "Max Youden - uncorrected" 0.00851433082553673 -0.00669344042838019 0.0236617532971295 0.0303551937255097
"494" 0.0145 "0.95" 0.01 "High specificity - uncorrected" 0.0126117014404669 -0.00062539086929324 0.0249003984063745 0.0255257892756677
"501" 0.3505 "0.8" 0.04 "Max Youden - uncorrected" 0.0424070626474683 0.00724637681159441 0.0768072289156628 0.0695608521040684
"502" 0.0124 "0.8" 0.04 "High specificity - uncorrected" 0.0330822520244503 -0.0125786163522016 0.0734870317002898 0.0860656480524914
"503" 0.2934 "0.85" 0.04 "Max Youden - uncorrected" 0.0573052465873156 0.0286195286195284 0.0839612486544671 0.0553417200349387
"504" 0.0163 "0.85" 0.04 "High specificity - uncorrected" 0.052226486922152 0.0212224108658739 0.0828267477203641 0.0616043368544902
"507" 0.3178 "0.85" 0.01 "Max Youden - uncorrected" 0.0422254627622317 0.0153646797482413 0.0669104204753199 0.0515457407270786
"508" 0.0076 "0.85" 0.01 "High specificity - uncorrected" -0.0236378183730386 -0.0761772853185603 0.0147783251231529 0.0909556104417132
"509" 0.1957 "0.95" 0.04 "Max Youden - uncorrected" 0.055257627658497 0.0390033915992696 0.072281339216195 0.0332779476169254
"510" 0.0249 "0.95" 0.04 "High specificity - uncorrected" 0.0417520132761164 0.0296336206896555 0.0533736153071498 0.0237399946174943
"515" 0.3031 "0.8" 0.01 "Max Youden - uncorrected" 0.00506345832152719 -0.0323020928116469 0.0401234567901234 0.0724255496017703
"516" 0.0095 "0.8" 0.01 "High specificity - uncorrected" -0.00743776596361081 -0.050522648083624 0.0315934065934062 0.0821160546770302
"517" 0.3185 "0.85" 0.08 "Max Youden - uncorrected" 0.0719714262832526 0.0439938791124711 0.099092558983666 0.0550986798711949
"518" 0.0166 "0.85" 0.08 "High specificity - uncorrected" 0.0581998625848885 0.024861878453038 0.0872193436960277 0.0623574652429897
"519" 0.3182 "0.8" 0.01 "Max Youden - uncorrected" 0.0211617373907251 -0.0118289353958141 0.0574098798397865 0.0692388152356006
"520" 0.0111 "0.8" 0.01 "High specificity - uncorrected" 0.014999832374401 -0.0299727520435965 0.0776545166402539 0.10762726868385
"537" 0.1686 "0.95" 0.04 "Max Youden - uncorrected" 0.0406607428709677 0.0251646903820816 0.0563870967741937 0.0312224063921121
"538" 0.0243 "0.95" 0.04 "High specificity - uncorrected" 0.0389553402262001 0.0283957845433256 0.0497305242528172 0.0213347397094916
"539" 0.2384 "0.9" 0.04 "Max Youden - uncorrected" 0.0470322060384352 0.0275456515010833 0.0680644181099969 0.0405187666089136
"540" 0.0155 "0.9" 0.04 "High specificity - uncorrected" 0.0291816934705041 0.0121668597914252 0.0461224489795913 0.0339555891881661
"541" 0.2948 "0.85" 0.01 "Max Youden - uncorrected" 0.0319449547266309 0.00129821958456959 0.0592225889255592 0.0579243693409896
"542" 0.0116 "0.85" 0.01 "High specificity - uncorrected" 0.00848204000399115 -0.0241596638655459 0.0348330914368644 0.0589927553024103
"543" 0.2652 "0.9" 0.08 "Max Youden - uncorrected" 0.070587610467187 0.0475430759412892 0.0929148539465507 0.0453717780052615
"544" 0.0299 "0.9" 0.08 "High specificity - uncorrected" 0.0894467588140789 0.0705555555555552 0.1062734082397 0.0357178526841448
"545" 0.1491 "0.95" 0.04 "Max Youden - uncorrected" 0.0298536046769751 0.0139490790899241 0.0448412698412699 0.0308921907513458
"546" 0.0221 "0.95" 0.04 "High specificity - uncorrected" 0.0335338449114551 0.0202172601086298 0.0464197530864196 0.0262024929777898
"547" 0.2685 "0.85" 0.04 "Max Youden - uncorrected" 0.0426036327160881 0.0151124216734242 0.0695474777448073 0.0544350560713831
"548" 0.0123 "0.85" 0.04 "High specificity - uncorrected" 0.0259836914916996 -0.00956284153005512 0.0592783505154631 0.0688411920455182
"551" 0.2088 "0.9" 0.01 "Max Youden - uncorrected" 0.027476519459102 0.00399616368286437 0.0478461538461537 0.0438499901632893
"552" 0.0136 "0.9" 0.01 "High specificity - uncorrected" 0.0190273627344462 0.00214362272240062 0.0366719242902212 0.0345283015678206
"553" 0.2116 "0.95" 0.08 "Max Youden - uncorrected" 0.0882225299371446 0.0730587618048267 0.102887139107612 0.0298283773027853
"554" 0.0421 "0.95" 0.08 "High specificity - uncorrected" 0.0822306504773089 0.0711734693877552 0.0942241801272638 0.0230507107395086
"555" 0.1766 "0.95" 0.01 "Max Youden - uncorrected" 0.0157788766991447 -0.000529941706412236 0.0321290322580644 0.0326589739644766
"556" 0.0147 "0.95" 0.01 "High specificity - uncorrected" 0.0119991546836034 0.00215384615384592 0.0209980237154149 0.018844177561569
"557" 0.2861 "0.9" 0.08 "Max Youden - uncorrected" 0.0686947512978655 0.0449082858950031 0.0919987546699874 0.0470904687749843
"558" 0.0217 "0.9" 0.08 "High specificity - uncorrected" 0.0776805332123827 0.0557880055788006 0.100360576923077 0.0445725713442764
"559" 0.3461 "0.85" 0.08 "Max Youden - uncorrected" 0.0654078917850859 0.0349961330239753 0.0940029433406915 0.0590068103167162
"560" 0.0157 "0.85" 0.08 "High specificity - uncorrected" 0.0554667860149268 0.0194805194805194 0.0884808013355587 0.0690002818550393
"561" 0.2357 "0.9" 0.04 "Max Youden - uncorrected" 0.0455309059452796 0.0245098039215687 0.0654367707347841 0.0409269668132154
"562" 0.0179 "0.9" 0.04 "High specificity - uncorrected" 0.0363867525515897 0.0185972369819344 0.0516393442622949 0.0330421072803605
"563" 0.3631 "0.8" 0.08 "Max Youden - uncorrected" 0.0816844972134262 0.0502008032128513 0.112633832976445 0.0624330297635937
"564" 0.0186 "0.8" 0.08 "High specificity - uncorrected" 0.10138543760926 0.0608108108108101 0.13994910941476 0.0791382986039499
"565" 0.2124 "0.95" 0.08 "Max Youden - uncorrected" 0.0755950441861356 0.0581798772351215 0.0916927899686521 0.0335129127335306
"566" 0.0448 "0.95" 0.08 "High specificity - uncorrected" 0.0894288433633262 0.0753171247357293 0.102496016994158 0.0271788922584287
"567" 0.2743 "0.9" 0.08 "Max Youden - uncorrected" 0.088000205707664 0.0658767772511849 0.107567897467196 0.0416911202160111
"568" 0.0239 "0.9" 0.08 "High specificity - uncorrected" 0.077723450025094 0.0551378446115283 0.100581878636741 0.0454440340252127
"571" 0.2359 "0.9" 0.04 "Max Youden - uncorrected" 0.0501226269336949 0.0288184438040346 0.0700401110768283 0.0412216672727937
"572" 0.0202 "0.9" 0.04 "High specificity - uncorrected" 0.051078426779164 0.0308988764044941 0.0708795900939366 0.0399807136894425
"573" 0.1457 "0.95" 0.01 "Max Youden - uncorrected" 0.00692368924894311 -0.00904799370574353 0.0218346253229973 0.0308826190287408
"574" 0.0147 "0.95" 0.01 "High specificity - uncorrected" 0.0130157136221163 0.00491534680502464 0.0213523131672597 0.0164369663622351
"579" 0.2841 "0.85" 0.04 "Max Youden - uncorrected" 0.0547321478846942 0.0277777777777778 0.0815589353612166 0.0537811575834388
"580" 0.0175 "0.85" 0.04 "High specificity - uncorrected" 0.0547899198953007 0.0274725274725279 0.0779569892473122 0.0504844617747843
"583" 0.2658 "0.8" 0.01 "Max Youden - uncorrected" 0.0151950780157225 -0.0208981769675413 0.051109177903436 0.0720073548709773
"584" 0.01 "0.8" 0.01 "High specificity - uncorrected" -0.00411829687203296 -0.0542986425339357 0.0424403183023885 0.0967389608363242
"589" 0.3343 "0.8" 0.04 "Max Youden - uncorrected" 0.0665785453014993 0.0327433628318587 0.0990821860659155 0.0663388232340568
"590" 0.0158 "0.8" 0.04 "High specificity - uncorrected" 0.0726981583519226 0.0214067278287472 0.115879828326179 0.0944731004974318
"595" 0.3112 "0.8" 0.04 "Max Youden - uncorrected" 0.0654642625359211 0.0312635692574902 0.0987654320987654 0.0675018628412752
"596" 0.0112 "0.8" 0.04 "High specificity - uncorrected" 0.0159293013284068 -0.0332031250000007 0.0707831325301194 0.10398625753012
"597" 0.307 "0.85" 0.04 "Max Youden - uncorrected" 0.0540098376370862 0.0249070631970262 0.0818649045521292 0.056957841355103
"598" 0.0124 "0.85" 0.04 "High specificity - uncorrected" 0.0248875954770127 -0.0324074074074073 0.0650224215246632 0.0974298289320705
"599" 0.198 "0.95" 0.08 "Max Youden - uncorrected" 0.0839449513128234 0.0687153785280929 0.0989394723228143 0.0302240937947214
"600" 0.0407 "0.95" 0.08 "High specificity - uncorrected" 0.0800503676191436 0.0678317535545021 0.0911277391769108 0.0232959856224087
"601" 0.2792 "0.85" 0.04 "Max Youden - uncorrected" 0.0411210083244762 0.0142089093701998 0.067743132887899 0.0535342235176992
"602" 0.0147 "0.85" 0.04 "High specificity - uncorrected" 0.0427195094769879 0.0159680638722559 0.0684380032206115 0.0524699393483556
"603" 0.3317 "0.8" 0.08 "Max Youden - uncorrected" 0.0742541001901668 0.0397366030881019 0.108811748998665 0.0690751459105631
"604" 0.0175 "0.8" 0.08 "High specificity - uncorrected" 0.0961874115627424 0.0453488372093026 0.141250000000001 0.0959011627906984
"605" 0.2109 "0.9" 0.01 "Max Youden - uncorrected" 0.0200564680981485 -0.000632511068943637 0.0414072229140722 0.0420397339830158
"606" 0.011 "0.9" 0.01 "High specificity - uncorrected" 0.00174606748439518 -0.0321100917431194 0.0219449225473317 0.0540550142904511
"607" 0.3369 "0.85" 0.08 "Max Youden - uncorrected" 0.0796093881058255 0.0504017531044559 0.107722843738722 0.0573210906342661
"608" 0.0191 "0.85" 0.08 "High specificity - uncorrected" 0.0845821143629241 0.0446428571428579 0.124784853700516 0.0801419965576581
"613" 0.1592 "0.95" 0.01 "Max Youden - uncorrected" 0.016289859020697 0.000133404482390594 0.0331753554502368 0.0330419509678462
"614" 0.0153 "0.95" 0.01 "High specificity - uncorrected" 0.0151186121102231 0.003666666666667 0.0261324041811844 0.0224657375145174
"617" 0.3451 "0.8" 0.01 "Max Youden - uncorrected" 0.0614487484193701 0.029489436619718 0.0931165540540541 0.0636271174343361
"618" 0.0109 "0.8" 0.01 "High specificity - uncorrected" 0.0161152386637774 -0.049230769230769 0.0733041575492334 0.122534926780002
"621" 0.2635 "0.9" 0.08 "Max Youden - uncorrected" 0.0871749990559198 0.0653061224489797 0.108756622000623 0.0434504995516433
"622" 0.0298 "0.9" 0.08 "High specificity - uncorrected" 0.0858974528860775 0.0644257703081234 0.107298001737619 0.0428722314294956
"625" 0.1708 "0.95" 0.04 "Max Youden - uncorrected" 0.0459093453885844 0.0311501597444091 0.0612405129547238 0.0300903532103147
"626" 0.022 "0.95" 0.04 "High specificity - uncorrected" 0.0332321620260124 0.0240198785201544 0.0431691213814116 0.0191492428612572
"627" 0.3119 "0.85" 0.08 "Max Youden - uncorrected" 0.0967733013130209 0.0697585281717133 0.122651734104046 0.0528932059323327
"628" 0.02 "0.85" 0.08 "High specificity - uncorrected" 0.0728709970835033 0.0278846153846144 0.109203296703297 0.0813186813186826
"629" 0.2116 "0.9" 0.01 "Max Youden - uncorrected" 0.00577829631998726 -0.0168431183830606 0.0285276073619634 0.045370725745024
"630" 0.0122 "0.9" 0.01 "High specificity - uncorrected" 0.0112581378539237 -0.00655241935483855 0.0279352226720644 0.034487642026903
"631" 0.2802 "0.85" 0.04 "Max Youden - uncorrected" 0.041357195549065 0.0152657369016208 0.0676731793960924 0.0524074424944716
"632" 0.0126 "0.85" 0.04 "High specificity - uncorrected" 0.028628228174109 -0.00313807531380835 0.0686968838526915 0.0718349591664998
"635" 0.1864 "0.95" 0.04 "Max Youden - uncorrected" 0.0504263349280334 0.0348929421094369 0.0665191356417599 0.031626193532323
"636" 0.0262 "0.95" 0.04 "High specificity - uncorrected" 0.0425953673142191 0.0317460317460319 0.0535028790786948 0.0217568473326629
"637" 0.3209 "0.8" 0.01 "Max Youden - uncorrected" -0.00535357746601195 -0.0401476695892939 0.0271385149804602 0.0672861845697541
"638" 0.0099 "0.8" 0.01 "High specificity - uncorrected" -0.00801099261632391 -0.0788381742738594 0.0429936305732472 0.121831804847107
"639" 0.1707 "0.95" 0.04 "Max Youden - uncorrected" 0.0440087848303988 0.0293804839138527 0.0583847736625513 0.0290042897486986
"640" 0.0247 "0.95" 0.04 "High specificity - uncorrected" 0.0409737181900906 0.0307167235494878 0.0518427518427516 0.0211260282932638
"643" 0.3357 "0.8" 0.08 "Max Youden - uncorrected" 0.107004552599883 0.0727272727272729 0.142071881606765 0.0693446088794921
"644" 0.0115 "0.8" 0.08 "High specificity - uncorrected" 0.0270351963638098 -0.0419999999999998 0.0999999999999993 0.141999999999999
"645" 0.3133 "0.9" 0.08 "Max Youden - uncorrected" 0.0998843060564975 0.0781102362204723 0.124020494273659 0.0459102580531867
"646" 0.0305 "0.9" 0.08 "High specificity - uncorrected" 0.0860081475159332 0.0646997929606623 0.105551211884284 0.0408514189236217
"647" 0.1404 "0.95" 0.01 "Max Youden - uncorrected" 0.00386124409120659 -0.0131686125441215 0.0224137931034482 0.0355824056475697
"648" 0.0133 "0.95" 0.01 "High specificity - uncorrected" 0.00722520953565092 -0.00725639253628193 0.0172054223149112 0.0244618148511931
"651" 0.3106 "0.85" 0.01 "Max Youden - uncorrected" 0.0360993973597585 0.00895522388059686 0.0650709219858155 0.0561156981052186
"652" 0.0106 "0.85" 0.01 "High specificity - uncorrected" 0.00555665967832453 -0.0335120643431643 0.037437603993344 0.0709496683365083
"657" 0.3225 "0.85" 0.08 "Max Youden - uncorrected" 0.0786420258583692 0.0498275201226524 0.107540861812779 0.0577133416901266
"658" 0.0208 "0.85" 0.08 "High specificity - uncorrected" 0.0912900823225962 0.0473441108545034 0.124361158432708 0.0770170475782046
"661" 0.2062 "0.9" 0.01 "Max Youden - uncorrected" 0.0023506590068815 -0.0198035487959442 0.0249457700650759 0.0447493188610201
"662" 0.0099 "0.9" 0.01 "High specificity - uncorrected" 0.00202713273704807 -0.0180102915951972 0.0243644067796607 0.0423746983748579
"663" 0.2288 "0.9" 0.01 "Max Youden - uncorrected" 0.0107065888741588 -0.0100129198966408 0.0317679558011049 0.0417808756977457
"664" 0.0131 "0.9" 0.01 "High specificity - uncorrected" 0.0154845713494012 -0.00550795593635258 0.0343434343434339 0.0398513902797865
"667" 0.3477 "0.8" 0.04 "Max Youden - uncorrected" 0.0513792058204727 0.0188303057155515 0.0848614072494671 0.0660311015339156
"668" 0.017 "0.8" 0.04 "High specificity - uncorrected" 0.0981426519904593 0.0543766578249337 0.145555555555554 0.0911788977306203
"669" 0.3808 "0.8" 0.08 "Max Youden - uncorrected" 0.0828267041717281 0.0498449268941071 0.115272575946734 0.0654276490526269
"670" 0.0129 "0.8" 0.08 "High specificity - uncorrected" 0.0319316940206795 -0.0286885245901631 0.0750605326876511 0.103749057277814
"671" 0.4082 "0.8" 0.08 "Max Youden - uncorrected" 0.0950051019305344 0.061138283681636 0.130067567567568 0.068929283885932
"672" 0.0207 "0.8" 0.08 "High specificity - uncorrected" 0.117660349787358 0.0721153846153847 0.159041394335511 0.0869260097201263
"677" 0.3264 "0.8" 0.04 "Max Youden - uncorrected" 0.0375055046889103 -0.000455580865603594 0.0733565520243798 0.0738121328899834
"678" 0.0112 "0.8" 0.04 "High specificity - uncorrected" 0.0198361960789052 -0.029780564263323 0.0756646216768924 0.105445185940215
"683" 0.2821 "0.85" 0.08 "Max Youden - uncorrected" 0.0672699132350127 0.038961038961039 0.0959183673469389 0.0569573283858999
"684" 0.0182 "0.85" 0.08 "High specificity - uncorrected" 0.0858379633411376 0.0551643192488255 0.117412140575079 0.0622478213262535
"691" 0.3384 "0.8" 0.08 "Max Youden - uncorrected" 0.0667141671971193 0.0319290465631928 0.100565955594253 0.0686369090310602
"692" 0.0179 "0.8" 0.08 "High specificity - uncorrected" 0.0965817625209249 0.0438356164383574 0.144708423326135 0.100872806887778
"695" 0.2797 "0.9" 0.08 "Max Youden - uncorrected" 0.0857311767443309 0.0640785781103838 0.10609756097561 0.0420189828652262
"696" 0.0247 "0.9" 0.08 "High specificity - uncorrected" 0.0777417197937233 0.0555555555555549 0.101785714285714 0.0462301587301591
"697" 0.302 "0.85" 0.08 "Max Youden - uncorrected" 0.0829911988019893 0.0578231292517006 0.108971962616822 0.0511488333651214
"698" 0.0211 "0.85" 0.08 "High specificity - uncorrected" 0.0858675430254507 0.0460869565217399 0.118402282453637 0.0723153259318971
"699" 0.2686 "0.85" 0.01 "Max Youden - uncorrected" -0.00958349889076746 -0.0389256520046711 0.0187802156935664 0.0577058676982375
"700" 0.009 "0.85" 0.01 "High specificity - uncorrected" -0.0127509984503684 -0.0518072289156623 0.0188323917137476 0.0706396206294099
"701" 0.335 "0.85" 0.08 "Max Youden - uncorrected" 0.0662478510523939 0.0376385173863203 0.0938170121515368 0.0561784947652165
"702" 0.0172 "0.85" 0.08 "High specificity - uncorrected" 0.0653298655483977 0.030685920577618 0.1 0.069314079422382
"703" 0.2202 "0.95" 0.08 "Max Youden - uncorrected" 0.0768854117051017 0.0599108547456739 0.092998678996037 0.0330878242503631
"704" 0.0436 "0.95" 0.08 "High specificity - uncorrected" 0.0786831654524683 0.0679587831207067 0.0888940737284182 0.0209352906077115
"705" 0.313 "0.85" 0.01 "Max Youden - uncorrected" 0.0320930756940197 0.00490018148820313 0.0588129496402877 0.0539127681520846
"706" 0.0085 "0.85" 0.01 "High specificity - uncorrected" -0.0126205423544477 -0.0329787234042552 0.0072992700729919 0.0402779934772471
"711" 0.2838 "0.9" 0.08 "Max Youden - uncorrected" 0.0856925922597287 0.0645315487571701 0.108433734939759 0.0439021861825889
"712" 0.0308 "0.9" 0.08 "High specificity - uncorrected" 0.0968161491181687 0.0784966698382491 0.114553990610328 0.0360573207720789
"713" 0.3011 "0.85" 0.08 "Max Youden - uncorrected" 0.0615320041780885 0.0342261904761904 0.0880344951491195 0.0538083046729291
"714" 0.0153 "0.85" 0.08 "High specificity - uncorrected" 0.0509634195021046 0.0197368421052634 0.0818815331010459 0.0621446909957825
"715" 0.2522 "0.9" 0.04 "Max Youden - uncorrected" 0.0481509461680629 0.02650290885585 0.0696361355081556 0.0431332266523056
"716" 0.0183 "0.9" 0.04 "High specificity - uncorrected" 0.0504876267588007 0.031358885017422 0.069296375266524 0.037937490249102
"719" 0.193 "0.95" 0.08 "Max Youden - uncorrected" 0.0755530797137174 0.0597214783074451 0.0925542916235779 0.0328328133161328
"720" 0.0488 "0.95" 0.08 "High specificity - uncorrected" 0.0938108234075043 0.0809917355371897 0.105836035201482 0.0248442996642923
"723" 0.3003 "0.85" 0.08 "Max Youden - uncorrected" 0.0923796942460301 0.0659151700420328 0.119669117647059 0.0537539476050262
"724" 0.0173 "0.85" 0.08 "High specificity - uncorrected" 0.0763969311666549 0.040723981900453 0.114074074074075 0.073350092173622
"725" 0.2414 "0.9" 0.04 "Max Youden - uncorrected" 0.0518207268937403 0.0309859154929578 0.0722171113155472 0.0412311958225894
"726" 0.014 "0.9" 0.04 "High specificity - uncorrected" 0.0239806965325947 0.0060024009603835 0.0418821096173733 0.0358797086569898
"733" 0.251 "0.85" 0.01 "Max Youden - uncorrected" -0.000381034012075098 -0.0275087175513367 0.026865671641791 0.0543743891931277
"734" 0.0113 "0.85" 0.01 "High specificity - uncorrected" 0.0120299426146536 -0.0178890876565295 0.0372907153729064 0.0551798030294359
"739" 0.3278 "0.8" 0.04 "Max Youden - uncorrected" 0.0447272075224409 0.0105217010083295 0.0755718954248364 0.0650501944165069
"740" 0.013 "0.8" 0.04 "High specificity - uncorrected" 0.035878399531729 -0.0257352941176483 0.0873205741626803 0.113055868280329
"741" 0.1482 "0.95" 0.01 "Max Youden - uncorrected" 0.011019719029074 -0.00524193548387099 0.0267155578837087 0.0319574933675797
"742" 0.0137 "0.95" 0.01 "High specificity - uncorrected" 0.00985201187654335 -0.00140607424071976 0.0186567164179106 0.0200627906586304
"745" 0.3184 "0.8" 0.01 "Max Youden - uncorrected" 0.0111528508285485 -0.0280636108512629 0.0451685393258427 0.0732321501771056
"746" 0.0118 "0.8" 0.01 "High specificity - uncorrected" 0.0162173438118184 -0.0385964912280699 0.0552699228791769 0.0938664141072468
"751" 0.3426 "0.8" 0.01 "Max Youden - uncorrected" -0.0193940358181585 -0.0570216776625825 0.0170022371364654 0.0740239147990479
"752" 0.0107 "0.8" 0.01 "High specificity - uncorrected" 0.00788005948644508 -0.049356223175965 0.0498220640569379 0.0991782872329029
"753" 0.2792 "0.8" 0.01 "Max Youden - uncorrected" 0.0413588375536426 0.00504818724185402 0.0765591397849464 0.0715109525430924
"754" 0.0106 "0.8" 0.01 "High specificity - uncorrected" 0.00458920561352627 -0.0425531914893615 0.0388888888888877 0.0814420803782492
"761" 0.348 "0.8" 0.04 "Max Youden - uncorrected" 0.0609703240467545 0.0272851296043656 0.0924978687127027 0.0652127391083371
"762" 0.0122 "0.8" 0.04 "High specificity - uncorrected" 0.0396208796760396 -0.0116618075801753 0.0863636363636369 0.0980254439438122
"763" 0.1855 "0.9" 0.01 "Max Youden - uncorrected" 0.00167445437750172 -0.0181102362204724 0.0219797110359668 0.0400899472564392
"764" 0.013 "0.9" 0.01 "High specificity - uncorrected" 0.0137331050639206 -0.0031088082901551 0.0279069767441864 0.0310157850343415
"765" 0.1293 "0.95" 0.01 "Max Youden - uncorrected" -0.00634253996332117 -0.0228074938908499 0.00971638655462194 0.0325238804454718
"766" 0.0098 "0.95" 0.01 "High specificity - uncorrected" -0.00176178028045943 -0.0142857142857141 0.0096103896103897 0.0238961038961038
"767" 0.3222 "0.8" 0.08 "Max Youden - uncorrected" 0.0712201781428119 0.0350159163256027 0.103508771929825 0.0684928556042223
"768" 0.0151 "0.8" 0.08 "High specificity - uncorrected" 0.0822415766072774 0.025531914893619 0.139322916666666 0.113791001773047
"769" 0.2349 "0.9" 0.04 "Max Youden - uncorrected" 0.0333994115530048 0.0101297879075656 0.0552590266875983 0.0451292387800327
"770" 0.0172 "0.9" 0.04 "High specificity - uncorrected" 0.0387680035939668 0.0199750312109869 0.057745187901008 0.0377701566900211
"771" 0.2741 "0.9" 0.08 "Max Youden - uncorrected" 0.0796439959574353 0.0585813806206459 0.100279416330332 0.0416980357096861
