"value" "AUC" "True prevalence" "type" "mean" "lower CI" "upper CI" "size.interval"
"157" 0.337 "0.85" 0.08 "Max Youden - uncorrected" 0.0693296257286483 0.0391819571865443 0.098420859346309 0.0592389021597647
"158" 0.0154 "0.85" 0.08 "High specificity - uncorrected" 0.0542088267930731 0.0170842824601373 0.0886524822695036 0.0715681998093663
"161" 0.3043 "0.8" 0.04 "Max Youden - uncorrected" 0.0714284573329214 0.0409356725146199 0.103197674418605 0.0622620019039851
"162" 0.0124 "0.8" 0.04 "High specificity - uncorrected" 0.036915317501485 -0.00604229607250688 0.0767263427109975 0.0827686387835044
"163" 0.3535 "0.8" 0.04 "Max Youden - uncorrected" 0.0263775536497578 -0.00828608809419979 0.0594583157003809 0.0677444037945807
"164" 0.012 "0.8" 0.04 "High specificity - uncorrected" 0.0358053355010753 -0.012903225806452 0.0910064239828689 0.103909649789321
"169" 0.2218 "0.9" 0.01 "Max Youden - uncorrected" -0.00231436405192193 -0.0245129870129872 0.0201738050900061 0.0446867921029933
"170" 0.0129 "0.9" 0.01 "High specificity - uncorrected" 0.0140113706071198 -0.0106117353308367 0.0308219178082196 0.0414336531390563
"175" 0.3329 "0.8" 0.01 "Max Youden - uncorrected" 0.00943026030479911 -0.0225718194254446 0.044235924932976 0.0668077443584206
"176" 0.01 "0.8" 0.01 "High specificity - uncorrected" 0.00304712312441577 -0.0468227424749167 0.0507246376811584 0.0975473801560751
"183" 0.338 "0.8" 0.04 "Max Youden - uncorrected" 0.0339226029702123 -0.00113122171945714 0.0658287175117169 0.066959939231174
"184" 0.0115 "0.8" 0.04 "High specificity - uncorrected" 0.019214056418484 -0.0405405405405403 0.0634328358208968 0.103973376361437
"187" 0.319 "0.85" 0.08 "Max Youden - uncorrected" 0.0753477469692602 0.0480514566780176 0.102036967182195 0.0539855105041774
"188" 0.0194 "0.85" 0.08 "High specificity - uncorrected" 0.0799760444213341 0.0482912332838035 0.110512129380054 0.0622208960962505
"191" 0.2966 "0.85" 0.04 "Max Youden - uncorrected" 0.0335954846498896 0.00554281345565773 0.0599053168244722 0.0543625033688145
"192" 0.0147 "0.85" 0.04 "High specificity - uncorrected" 0.0487920567774643 0.0208333333333332 0.0810810810810817 0.0602477477477485
"193" 0.2568 "0.9" 0.04 "Max Youden - uncorrected" 0.0495189413581954 0.0282233189389266 0.0703439727300897 0.0421206537911631
"194" 0.0191 "0.9" 0.04 "High specificity - uncorrected" 0.0431007820707273 0.022875816993464 0.0595533498759304 0.0366775328824664
"195" 0.3093 "0.85" 0.04 "Max Youden - uncorrected" 0.0450411685675573 0.0181750741839763 0.0718907260963336 0.0537156519123573
"196" 0.0139 "0.85" 0.04 "High specificity - uncorrected" 0.0305549823028049 -0.000833333333333241 0.0602981029810292 0.0611314363143624
"197" 0.3354 "0.85" 0.08 "Max Youden - uncorrected" 0.0847051432353304 0.0560993975903615 0.11072218128224 0.0546227836918785
"198" 0.0165 "0.85" 0.08 "High specificity - uncorrected" 0.0640987103495423 0.0275387263339078 0.0986394557823135 0.0711007294484057
"199" 0.3157 "0.8" 0.04 "Max Youden - uncorrected" 0.0647250537268504 0.031590413943355 0.0974218089602705 0.0658313950169155
"200" 0.0156 "0.8" 0.04 "High specificity - uncorrected" 0.0571833324634908 -0.0165165165165164 0.107066381156317 0.123582897672833
"201" 0.3777 "0.8" 0.04 "Max Youden - uncorrected" 0.0498210051471531 0.013895015438906 0.0827785175321795 0.0688835020932735
"202" 0.0138 "0.8" 0.04 "High specificity - uncorrected" 0.0438970342245362 -0.00143678160919525 0.0891647855530476 0.0906015671622429
"203" 0.3257 "0.8" 0.04 "Max Youden - uncorrected" 0.0294251342079966 -0.00796540737369153 0.0634199134199137 0.0713853207936052
"204" 0.0141 "0.8" 0.04 "High specificity - uncorrected" 0.0577683782281448 0.00143266475644683 0.106382978723403 0.104950313966956
"205" 0.3416 "0.8" 0.01 "Max Youden - uncorrected" 0.0022423056455986 -0.0355796418473136 0.0370448772226928 0.0726245190700064
"206" 0.0118 "0.8" 0.01 "High specificity - uncorrected" 0.0220214857721844 -0.0299145299145314 0.0581395348837198 0.0880540647982512
"209" 0.3023 "0.8" 0.01 "Max Youden - uncorrected" 0.0238876282442779 -0.0125842696629215 0.0573414422241529 0.0699257118870744
"210" 0.0087 "0.8" 0.01 "High specificity - uncorrected" -0.0166625307812707 -0.0700000000000011 0.0384615384615373 0.108461538461538
"211" 0.2551 "0.9" 0.04 "Max Youden - uncorrected" 0.0488730935232328 0.0253493662658434 0.0710509950248757 0.0457016287590323
"212" 0.0181 "0.9" 0.04 "High specificity - uncorrected" 0.0408002288355002 0.0224948875255622 0.0574018126888221 0.0349069251632599
"215" 0.3688 "0.8" 0.08 "Max Youden - uncorrected" 0.103252727775856 0.0713367609254501 0.135276845637584 0.0639400847121339
"216" 0.0154 "0.8" 0.08 "High specificity - uncorrected" 0.0692718048395096 0.00704225352112599 0.116279069767443 0.109236816246317
"221" 0.3677 "0.8" 0.08 "Max Youden - uncorrected" 0.0904331182501467 0.0578034682080925 0.123709122203098 0.0659056539950055
"222" 0.0166 "0.8" 0.08 "High specificity - uncorrected" 0.0865910226828462 0.0340599455040865 0.135881104033969 0.101821158529882
"223" 0.2972 "0.85" 0.01 "Max Youden - uncorrected" 0.00646557827144521 -0.0220930232558141 0.0353271028037382 0.0574201260595523
"224" 0.0137 "0.85" 0.01 "High specificity - uncorrected" 0.0317140442124729 0.00825082508250918 0.0551771117166212 0.046926286634112
"225" 0.2906 "0.8" 0.01 "Max Youden - uncorrected" 0.0201197049292126 -0.0138400702987697 0.0549519431675721 0.0687920134663418
"226" 0.0131 "0.8" 0.01 "High specificity - uncorrected" 0.0332294963568496 -0.0366379310344835 0.0742574257425743 0.110895356777058
"227" 0.2854 "0.85" 0.04 "Max Youden - uncorrected" 0.053490173479128 0.0267857142857142 0.079699785561115 0.0529140712754008
"228" 0.0161 "0.85" 0.04 "High specificity - uncorrected" 0.0479078527100687 0.0222024866785075 0.071310116086235 0.0491076294077275
"233" 0.3526 "0.85" 0.08 "Max Youden - uncorrected" 0.102777937228226 0.0751048417842163 0.127834674469642 0.0527298326854257
"234" 0.0198 "0.85" 0.08 "High specificity - uncorrected" 0.0849443363357511 0.0540540540540541 0.116640746500779 0.0625866924467249
"241" 0.2787 "0.85" 0.04 "Max Youden - uncorrected" 0.0650205820019232 0.0376483679525222 0.0911078717201167 0.0534595037675945
"242" 0.0195 "0.85" 0.04 "High specificity - uncorrected" 0.0720841036310764 0.0412087912087908 0.0991957104557636 0.0579869192469728
"253" 0.3025 "0.85" 0.01 "Max Youden - uncorrected" 0.0194963102200073 -0.0106303618052966 0.0490654205607474 0.059695782366044
"254" 0.0096 "0.85" 0.01 "High specificity - uncorrected" -0.00439119507233611 -0.0353107344632777 0.0220713073005088 0.0573820417637865
"261" 0.3559 "0.8" 0.08 "Max Youden - uncorrected" 0.0883030551986926 0.0556325023084026 0.1219723183391 0.0663398160306974
"262" 0.0147 "0.8" 0.08 "High specificity - uncorrected" 0.0567357162885607 0.0017123287671231 0.101895734597156 0.100183405830033
"265" 0.2737 "0.85" 0.04 "Max Youden - uncorrected" 0.0415340721316201 0.0145648967551623 0.0677045619116584 0.0531396651564961
"266" 0.0132 "0.85" 0.04 "High specificity - uncorrected" 0.0280525385283996 -0.00176991150442458 0.0608882521489968 0.0626581636534214
"267" 0.3163 "0.85" 0.01 "Max Youden - uncorrected" 0.0115662137601785 -0.0183610359489758 0.040735400144196 0.0590964360931718
"268" 0.0114 "0.85" 0.01 "High specificity - uncorrected" 0.0117265000517554 -0.0198237885462558 0.0405616224648993 0.0603854110111551
"269" 0.2895 "0.85" 0.01 "Max Youden - uncorrected" 0.017445017406762 -0.0117013372956909 0.0458318296643812 0.0575331669600721
"270" 0.0112 "0.85" 0.01 "High specificity - uncorrected" 0.0103324863974825 -0.0253549695740371 0.0412960609911052 0.0666510305651423
"273" 0.2663 "0.85" 0.01 "Max Youden - uncorrected" 0.0278201965076586 -0.0003716090672612 0.0554351751534849 0.0558067842207461
"274" 0.0095 "0.85" 0.01 "High specificity - uncorrected" -0.00529228890274252 -0.0431034482758628 0.0228040540540534 0.0659075023299162
"275" 0.3492 "0.8" 0.04 "Max Youden - uncorrected" 0.0185057536629065 -0.018064228367529 0.0539409951563187 0.0720052235238477
"276" 0.0145 "0.8" 0.04 "High specificity - uncorrected" 0.057151269324413 0.0219435736677126 0.0927318295739359 0.0707882559062233
"277" 0.3192 "0.85" 0.08 "Max Youden - uncorrected" 0.0806815361206194 0.0534437335340609 0.106569082470546 0.0531253489364851
"278" 0.0235 "0.85" 0.08 "High specificity - uncorrected" 0.0950121342656998 0.0701863354037259 0.118857901726428 0.0486715663227021
"285" 0.3573 "0.8" 0.08 "Max Youden - uncorrected" 0.0895133312135927 0.0559534467323185 0.122653583617747 0.0667001368854285
"286" 0.0168 "0.8" 0.08 "High specificity - uncorrected" 0.0845140136133833 0.0368663594470057 0.124352331606218 0.0874859721592123
"287" 0.2788 "0.85" 0.01 "Max Youden - uncorrected" 0.0341160333832829 0.00533130236100517 0.0588235294117647 0.0534922270507595
"288" 0.0126 "0.85" 0.01 "High specificity - uncorrected" 0.0204483466059002 -0.0241228070175437 0.0483668341708545 0.0724896411883982
"291" 0.2796 "0.85" 0.04 "Max Youden - uncorrected" 0.0574813018880353 0.0303203661327232 0.0846210448859456 0.0543006787532224
"292" 0.0119 "0.85" 0.04 "High specificity - uncorrected" 0.0189963186699914 -0.0159362549800801 0.0519559902200486 0.0678922452001287
"293" 0.3296 "0.8" 0.08 "Max Youden - uncorrected" 0.0854770609940437 0.0520332313073897 0.118763326226013 0.0667300949186233
"294" 0.0132 "0.8" 0.08 "High specificity - uncorrected" 0.061831128123579 0.0128205128205114 0.119647355163729 0.106826842343218
"295" 0.2652 "0.9" 0.08 "Max Youden - uncorrected" 0.0797544184281633 0.0585599999999999 0.100369458128079 0.0418094581280791
"296" 0.0215 "0.9" 0.08 "High specificity - uncorrected" 0.067912079321169 0.0456852791878179 0.088364434687157 0.0426791554993391
"297" 0.3737 "0.8" 0.08 "Max Youden - uncorrected" 0.0846363479876579 0.0468250342622201 0.120802442215439 0.0739774079532189
"298" 0.02 "0.8" 0.08 "High specificity - uncorrected" 0.122444773076571 0.0797297297297299 0.16578947368421 0.0860597439544801
"301" 0.2926 "0.8" 0.01 "Max Youden - uncorrected" -0.0130368674213021 -0.0468821119708693 0.0207404103479039 0.0676225223187732
"302" 0.0084 "0.8" 0.01 "High specificity - uncorrected" -0.0186724548317836 -0.0837104072398198 0.0409207161125331 0.124631123352353
"303" 0.2791 "0.85" 0.04 "Max Youden - uncorrected" 0.0601793742331511 0.0319548872180449 0.0877192982456139 0.055764411027569
"304" 0.0152 "0.85" 0.04 "High specificity - uncorrected" 0.0410037570840521 0.0129224652087483 0.0679117147707981 0.0549892495620498
"307" 0.3375 "0.8" 0.04 "Max Youden - uncorrected" 0.0474613535157744 0.0148295706064629 0.0808421052631579 0.066012534656695
"308" 0.0119 "0.8" 0.04 "High specificity - uncorrected" 0.0304115886366995 -0.0433212996389883 0.0920074349442382 0.135328734583227
"309" 0.2761 "0.9" 0.08 "Max Youden - uncorrected" 0.0911561367496398 0.0687519355837721 0.113106200122775 0.0443542645390029
"310" 0.0295 "0.9" 0.08 "High specificity - uncorrected" 0.0836967737373619 0.0676190476190476 0.10172570390554 0.0341066562864924
"311" 0.3385 "0.8" 0.01 "Max Youden - uncorrected" 0.0276330451969541 -0.00782268578878735 0.0617154811715483 0.0695381669603357
"312" 0.007 "0.8" 0.01 "High specificity - uncorrected" -0.0560572752988436 -0.121681415929205 0.0119680851063846 0.13364950103559
"313" 0.3473 "0.8" 0.01 "Max Youden - uncorrected" 0.0473559411755946 0.0110570544007074 0.0811855670103089 0.0701285126096015
"314" 0.0094 "0.8" 0.01 "High specificity - uncorrected" -0.00605365685172458 -0.0661478599221783 0.0498753117206983 0.116023171642877
"315" 0.3373 "0.8" 0.01 "Max Youden - uncorrected" -0.00458027822749418 -0.0448338643604917 0.0366909753874202 0.0815248397479119
"316" 0.0104 "0.8" 0.01 "High specificity - uncorrected" 0.00853251428336565 -0.0345454545454548 0.0466507177033495 0.0811961722488043
"317" 0.2698 "0.9" 0.04 "Max Youden - uncorrected" 0.0592937767902565 0.0364518147684607 0.079454990814452 0.0430031760459913
"318" 0.0184 "0.9" 0.04 "High specificity - uncorrected" 0.0399222445728423 0.0162337662337657 0.0585867620751337 0.042352995841368
"331" 0.3201 "0.8" 0.08 "Max Youden - uncorrected" 0.0690259725392272 0.0337465564738291 0.101624231782265 0.0678776753084359
"332" 0.0207 "0.8" 0.08 "High specificity - uncorrected" 0.108784489581809 0.0630530973451331 0.149797570850202 0.0867444735050689
"333" 0.2815 "0.85" 0.04 "Max Youden - uncorrected" 0.0403207327018747 0.0131228604031954 0.0677371723883351 0.0546143119851397
"334" 0.0132 "0.85" 0.04 "High specificity - uncorrected" 0.025552130091816 -0.00200803212851384 0.0537124802527639 0.0557205123812777
"339" 0.3903 "0.8" 0.08 "Max Youden - uncorrected" 0.0737867768382836 0.0376272687029662 0.108761329305136 0.0711340606021698
"340" 0.014 "0.8" 0.08 "High specificity - uncorrected" 0.0573299707455505 0.00168350168350149 0.103825136612023 0.102141634928522
"341" 0.2713 "0.9" 0.08 "Max Youden - uncorrected" 0.092288092766027 0.07190635451505 0.111969696969697 0.040063342454647
"342" 0.0338 "0.9" 0.08 "High specificity - uncorrected" 0.0997394001051233 0.0815881326352528 0.118538938662991 0.0369508060277382
