"Row" "value" "AUC" "true prevalence" "type" "mean" "lower" "upper"
"1" 0.0217238234146232 0.98 0.015 "Max Youden - Bayesian" 0.0217238234146232 0.00969635781306287 0.033822819454872
"2" 0.0130162200808264 0.98 0.015 "High specificity - Bayesian" 0.0130162200808264 0.00617385558078216 0.0194942810650052
"3" 0.0162009253955338 0.98 0.015 "Max Youden - Bayesian" 0.0162009253955338 0.00430239562099408 0.0280373286952974
"4" 0.0163317848485456 0.98 0.015 "High specificity - Bayesian" 0.0163317848485456 0.00946399095241278 0.0228963195558415
"5" 0.0164794041747409 0.98 0.015 "Max Youden - Bayesian" 0.0164794041747409 0.00448474152712875 0.0284965362464921
"6" 0.0161938991983154 0.98 0.015 "High specificity - Bayesian" 0.0161938991983154 0.00975235388587928 0.0226350394140541
"7" 0.0122103866665719 0.98 0.015 "Max Youden - Bayesian" 0.0122103866665719 0.000929286188517734 0.0251222122777044
"8" 0.0162329676350366 0.98 0.015 "High specificity - Bayesian" 0.0162329676350366 0.00924790079214482 0.0229806073605925
"9" 0.0167041542430313 0.98 0.015 "Max Youden - Bayesian" 0.0167041542430313 0.00430123915247365 0.0287962147397227
"10" 0.0195483802477951 0.98 0.015 "High specificity - Bayesian" 0.0195483802477951 0.012843640991083 0.0263454880852953
"11" 0.00876926404424239 0.98 0.015 "Max Youden - Bayesian" 0.00876926404424239 0.000630241750004579 0.0193933971558058
"12" 0.0102364606122235 0.98 0.015 "High specificity - Bayesian" 0.0102364606122235 0.00315040497562618 0.0172748934987544
"13" 0.0191037780702614 0.98 0.015 "Max Youden - Bayesian" 0.0191037780702614 0.00627165138376659 0.0311648921682625
"14" 0.0147064214869687 0.98 0.015 "High specificity - Bayesian" 0.0147064214869687 0.00822965999171001 0.0210752826509334
"15" 0.00685808969486579 0.98 0.015 "Max Youden - Bayesian" 0.00685808969486579 0.000391366547153657 0.0169528809991799
"16" 0.0126706448276267 0.98 0.015 "High specificity - Bayesian" 0.0126706448276267 0.00531790199400897 0.0196111428221454
"17" 0.015146807513519 0.98 0.015 "Max Youden - Bayesian" 0.015146807513519 0.00404834174472665 0.0262797468783311
"18" 0.0192803129551358 0.98 0.015 "High specificity - Bayesian" 0.0192803129551358 0.0126310302808341 0.0258288821925597
"19" 0.00850432173502754 0.98 0.015 "Max Youden - Bayesian" 0.00850432173502754 0.000630295134587528 0.0197929947578274
"20" 0.0178209417719857 0.98 0.015 "High specificity - Bayesian" 0.0178209417719857 0.0112820881014206 0.0241871734740108
"21" 0.00938087747064394 0.98 0.015 "Max Youden - Bayesian" 0.00938087747064394 0.000712777243812321 0.0208572982875724
"22" 0.0131368892005411 0.98 0.015 "High specificity - Bayesian" 0.0131368892005411 0.00677805667766473 0.0192025630279676
"23" 0.0157133038578196 0.98 0.015 "Max Youden - Bayesian" 0.0157133038578196 0.00402819972780121 0.0273376397086788
"24" 0.0122621534000678 0.98 0.015 "High specificity - Bayesian" 0.0122621534000678 0.00543866565050909 0.0191063869921413
"25" 0.00925871509310958 0.98 0.015 "Max Youden - Bayesian" 0.00925871509310958 0.000828300762865316 0.0205546402078485
"26" 0.0137231843108558 0.98 0.015 "High specificity - Bayesian" 0.0137231843108558 0.00692251218106958 0.0204025036436034
"27" 0.0160056523717656 0.98 0.015 "Max Youden - Bayesian" 0.0160056523717656 0.00506775881823048 0.0266062910272573
"28" 0.0127434539225606 0.98 0.015 "High specificity - Bayesian" 0.0127434539225606 0.00565077104214945 0.0192411067619178
"29" 0.00800716749064486 0.98 0.015 "Max Youden - Bayesian" 0.00800716749064486 0.000561664708023989 0.0185926925830518
"30" 0.0127547554793252 0.98 0.015 "High specificity - Bayesian" 0.0127547554793252 0.00588151417937595 0.0196665319004893
"31" 0.0102981218173918 0.98 0.015 "Max Youden - Bayesian" 0.0102981218173918 0.00109133026974189 0.0215076588863585
"32" 0.0131604763386688 0.98 0.015 "High specificity - Bayesian" 0.0131604763386688 0.00610028836170794 0.0196706790047982
"33" 0.0243654467952745 0.98 0.015 "Max Youden - Bayesian" 0.0243654467952745 0.0114571440959342 0.0370786756692399
"34" 0.0079590777578358 0.98 0.015 "High specificity - Bayesian" 0.0079590777578358 0.00143698849271746 0.0147961163384851
"35" 0.0132235244011546 0.98 0.015 "Max Youden - Bayesian" 0.0132235244011546 0.00277677280467587 0.0244380638980419
"36" 0.00893790642268831 0.98 0.015 "High specificity - Bayesian" 0.00893790642268831 0.00217382513108983 0.0160563992651252
"37" 0.0146095646921401 0.98 0.015 "Max Youden - Bayesian" 0.0146095646921401 0.00279430261831447 0.026618193554705
"38" 0.0145287962495402 0.98 0.015 "High specificity - Bayesian" 0.0145287962495402 0.00796998592792084 0.0211433218923895
"39" 0.0123320115266486 0.98 0.015 "Max Youden - Bayesian" 0.0123320115266486 0.00168937468180256 0.0243763555665957
"40" 0.0174360692091972 0.98 0.015 "High specificity - Bayesian" 0.0174360692091972 0.0106235119907741 0.0240571550098574
"41" 0.0242848346084442 0.98 0.015 "Max Youden - Bayesian" 0.0242848346084442 0.0128866434650458 0.0354483049666485
"42" 0.0215220744451278 0.98 0.015 "High specificity - Bayesian" 0.0215220744451278 0.0147697161397409 0.0277585937246212
"43" 0.00733200190752597 0.98 0.015 "Max Youden - Bayesian" 0.00733200190752597 0.000511440161768889 0.017467078439177
"44" 0.0162590924978376 0.98 0.015 "High specificity - Bayesian" 0.0162590924978376 0.00896508684561649 0.0230005608288437
"45" 0.0159024026999442 0.98 0.015 "Max Youden - Bayesian" 0.0159024026999442 0.00547509123780785 0.0265014353739735
