"row" "value" "AUC" "True prevalence" "type" "mean" "lower CI" "upper CI"
"1" 0.0628522159661048 "0.75" 0.08 "Mixture model" 0.0672865344018375 0.0346255678265863 0.0974121223939449
"2" 0.0423162583518934 "0.75" 0.08 "Max Youden - RG" 0.0466650096344587 0.00111669458403114 0.0918534718425371
"3" 0.114537444933923 "0.75" 0.08 "High specificity - RG" 0.111355088425682 0.038910505836576 0.173633440514468
"4" 0.0144284535398768 "0.75" 0.01 "Mixture model" 0.022922488869638 6.47409586147421e-09 0.0526656452057377
"5" -0.00854700854700887 "0.75" 0.01 "Max Youden - RG" -0.00579205740743309 -0.0550432276657061 0.0415456130156885
"6" 0.037914691943129 "0.75" 0.01 "High specificity - RG" 0.0137647778773799 -0.153846153846151 0.107594936708863
"7" 0.0277414182171784 "0.7" 0.04 "Mixture model" 0.0397147490965457 6.47409586147421e-09 0.0786665381477228
"8" 0.0266617969320675 "0.7" 0.04 "Max Youden - RG" 0.0295407378544488 -0.026893939393939 0.0873299928418038
"9" 0.0460122699386521 "0.7" 0.04 "High specificity - RG" 0.0419227977193378 -0.0833333333333311 0.141089108910892
"10" 0.0129669160976922 "0.8" 0.01 "Mixture model" 0.0196648780885058 6.47409586147421e-09 0.0428496015029983
"11" 0.0154414963027401 "0.8" 0.01 "Max Youden - RG" 0.0161120441602724 -0.0185922974767595 0.0513489991296781
"12" -0.00755287009063361 "0.8" 0.01 "High specificity - RG" -0.00712722702877015 -0.053308823529412 0.0387931034482748
"13" 0.0264281871627436 "0.7" 0.01 "Mixture model" 0.0421330345541432 6.47409586147421e-09 0.0793345419942168
"14" 0.0387755102040819 "0.7" 0.01 "Max Youden - RG" 0.0381910218053325 -0.0203527815468114 0.0938722294654496
"15" 0.0638297872340413 "0.7" 0.01 "High specificity - RG" 0.0667999227162235 -0.0607142857142869 0.160919540229884
"16" 0.0839298576733131 "0.7" 0.08 "Mixture model" 0.0924857310586078 0.0513255948522263 0.131779128433382
"17" 0.0895776566757493 "0.7" 0.08 "Max Youden - RG" 0.090929927267035 0.0381944444444449 0.143194070080862
"18" 0.11885245901639 "0.7" 0.08 "High specificity - RG" 0.12351566367009 0 0.232954545454544
"19" 0.0517467806219248 "0.75" 0.04 "Mixture model" 0.0578539670673523 0.025833231660407 0.0892305315356926
"20" 0.089496248660236 "0.75" 0.04 "Max Youden - RG" 0.0859957618317805 0.0395927601809955 0.128139415684265
"21" 0.0361702127659582 "0.75" 0.04 "High specificity - RG" 0.0279878722940858 -0.0974025974025977 0.0975000000000003
"22" 0.0734086552712354 "0.7" 0.08 "Mixture model" 0.0799960503966552 0.0398383672300984 0.116538871463459
"23" 0.0758389261744965 "0.7" 0.08 "Max Youden - RG" 0.0793090655274039 0.0202749140893471 0.130967741935484
"24" 0.0646258503401363 "0.7" 0.08 "High specificity - RG" 0.0688798653706625 -0.0639534883720921 0.196428571428573
"25" 0.0664909499262393 "0.75" 0.08 "Mixture model" 0.0734105944231698 0.0381321088460343 0.106559418046181
"26" 0.0916407061266871 "0.75" 0.08 "Max Youden - RG" 0.0992136387095684 0.0571505958829906 0.137029288702929
"27" -0.00284090909090879 "0.75" 0.08 "High specificity - RG" 0.00411680861545858 -0.108208955223881 0.0935251798561166
"28" 0.0431886604056395 "0.75" 0.04 "Mixture model" 0.0492144764819985 0.0174483193334336 0.078073874476238
"29" 0.0604944765912681 "0.75" 0.04 "Max Youden - RG" 0.0619972727759602 0.0181277056277054 0.103553299492386
"30" 0.0643382352941187 "0.75" 0.04 "High specificity - RG" 0.0581002780543312 -0.0426540284360195 0.123167155425219
"31" 0.0383438948980831 "0.8" 0.04 "Mixture model" 0.0428690991034231 0.0211071130611412 0.0636643071431118
"32" 0.0296610169491527 "0.8" 0.04 "Max Youden - RG" 0.0332233165851825 -0.00344669117647046 0.064969271290606
"33" 0.0373831775700946 "0.8" 0.04 "High specificity - RG" 0.0393234431154969 -0.00776397515528037 0.0793319415448856
"34" 0.0943951908656573 "0.8" 0.08 "Mixture model" 0.097286040598844 0.0714456978166759 0.121893999956561
"35" 0.106741573033708 "0.8" 0.08 "Max Youden - RG" 0.10888967866868 0.0757314974182442 0.13948138854036
"36" 0.0841346153846142 "0.8" 0.08 "High specificity - RG" 0.0857157758442827 0.0441176470588241 0.125581395348836
"37" 0.0198671725112914 "0.7" 0.01 "Mixture model" 0.029680292117964 6.47409586147421e-09 0.0641329951870821
"38" 0.0100647016534864 "0.7" 0.01 "Max Youden - RG" 0.0127683071657871 -0.0492537313432831 0.0694542877391923
"39" 0.0505617977528095 "0.7" 0.01 "High specificity - RG" 0.0457484736373839 -0.0694444444444447 0.150000000000002
"40" 0.082237903933929 "0.8" 0.08 "Mixture model" 0.086543407788152 0.062838654156358 0.109429472487685
"41" 0.0761065943992775 "0.8" 0.08 "Max Youden - RG" 0.0760775652387948 0.040657834627684 0.109395389299696
"42" 0.0523648648648629 "0.8" 0.08 "High specificity - RG" 0.055724062125468 -0.0177777777777783 0.118571428571428
"43" 0.0285645784055251 "0.7" 0.04 "Mixture model" 0.03404833852271 0.001724281557835 0.0670503897275776
"44" 0.0221774193548385 "0.7" 0.04 "Max Youden - RG" 0.0262608132807628 -0.0336538461538463 0.082214765100671
"45" 0.0606060606060608 "0.7" 0.04 "High specificity - RG" 0.035376873820328 -0.119318181818181 0.134803921568629
"46" 0.0759148063857756 "0.75" 0.08 "Mixture model" 0.0810975804174845 0.0500899934670061 0.109172757952146
"47" 0.0714285714285713 "0.75" 0.08 "Max Youden - RG" 0.0751780812221661 0.0300333704115688 0.117919670442843
"48" 0.106382978723402 "0.75" 0.08 "High specificity - RG" 0.103919490441456 0.0152284263959374 0.174870466321245
"49" 0.0263164355808551 "0.75" 0.01 "Mixture model" 0.0310203974127199 0.00105215237558315 0.05958033669873
"50" 0.0164024056861673 "0.75" 0.01 "Max Youden - RG" 0.0171135904184409 -0.0253916801728797 0.0578920041536864
"51" 0.0231092436974811 "0.75" 0.01 "High specificity - RG" 0.0346468374159231 -0.0259433962264149 0.107669616519175
"52" 0.0808214332185902 "0.75" 0.08 "Mixture model" 0.0853773013494242 0.0519470788122056 0.116864971840721
"53" 0.0846837428123366 "0.75" 0.08 "Max Youden - RG" 0.0865483506351149 0.0454051114736274 0.124380574826561
"54" 0.132936507936507 "0.75" 0.08 "High specificity - RG" 0.129324832411228 0.061475409836068 0.191011235955056
"55" 0.0250298110360451 "0.75" 0.01 "Mixture model" 0.0315806752747351 0.000280547608607716 0.0615742109694295
"56" 0.0245726495726498 "0.75" 0.01 "Max Youden - RG" 0.0287873709347922 -0.0135795763172192 0.0715795034337029
"57" -0.00200803212851383 "0.75" 0.01 "High specificity - RG" -0.0073965839121797 -0.0981595092024535 0.0727611940298509
"58" 0.0919277873789544 "0.75" 0.08 "Mixture model" 0.0972931963046221 0.0646809379209661 0.127440894087668
"59" 0.10167714884696 "0.75" 0.08 "Max Youden - RG" 0.106516288200629 0.0638185654008439 0.150077359463641
"60" 0.0790513833992096 "0.75" 0.08 "High specificity - RG" 0.083412241204539 -0.00480769230769177 0.162116040955633
"61" 0.0536390687515771 "0.75" 0.04 "Mixture model" 0.0592359361525968 0.0305474318969919 0.0881456134257837
"62" 0.0695142378559462 "0.75" 0.04 "Max Youden - RG" 0.0724266731790918 0.0246234067207415 0.117174959871589
"63" 0.0298165137614696 "0.75" 0.04 "High specificity - RG" 0.0394848363996791 -0.0396341463414625 0.108156028368794
"64" 0.0365532189416957 "0.75" 0.04 "Mixture model" 0.0426280324658463 0.01829721831095 0.070033979695781
"65" 0.0103179029559399 "0.75" 0.04 "Max Youden - RG" 0.0142247184371462 -0.036301758366421 0.0609348914858098
"66" 0.0977011494252893 "0.75" 0.04 "High specificity - RG" 0.0939360412889996 0.00448430493273494 0.154008438818568
"67" 0.0945346823361991 "0.8" 0.08 "Mixture model" 0.0986202669638287 0.0732991071692649 0.121861187693926
"68" 0.109422492401216 "0.8" 0.08 "Max Youden - RG" 0.110876430636451 0.0764991181657847 0.142098555649957
"69" 0.0598705501618128 "0.8" 0.08 "High specificity - RG" 0.0678061620486058 0.0112540192926033 0.128133704735377
"70" 0.0258889182054375 "0.75" 0.04 "Mixture model" 0.0287854938349963 6.47409586147421e-09 0.0614016278104593
"71" 0.0445299615173172 "0.75" 0.04 "Max Youden - RG" 0.0436905304183672 -0.00485175202156341 0.0869910100475937
"72" 0.00282485875706183 "0.75" 0.04 "High specificity - RG" 0.00712544970806585 -0.11818181818182 0.0939849624060132
